transaction_id,user_id,merchant_id,device_id,amount,timestamp,location,risk_label
59b62ce1-3c40-45a2-8c23-0a2514fc1546,user_0000,merch_0047,dev_0003,23.05,2024-01-05 00:12:00,US-TX,0
8cfff0f4-6247-4432-9b64-369b72d4d1d9,user_0000,merch_0047,dev_0071,19.91,2024-01-08 19:52:00,US-TX,0
da01b01b-0ef3-4e71-99cf-902153ff3a4a,user_0000,merch_0054,dev_0003,34.65,2024-01-13 22:17:00,US-TX,0
0fcbf5ea-f793-45d6-99e2-f3d2d3b9ba40,user_0000,merch_0047,dev_0003,31.32,2024-02-01 18:29:00,US-TX,0
ade93080-3997-485d-ae31-11d360e6384a,user_0000,merch_0044,dev_0020,610.22,2024-02-05 18:09:00,UK-LON,1
6842c26e-1c64-4382-9e61-c8afa964bcdb,user_0000,merch_0047,dev_0003,32.83,2024-02-06 04:55:00,US-TX,0
d256576e-ecd5-4896-a11d-72b0cc38273d,user_0000,merch_0047,dev_0003,22.08,2024-02-16 05:22:00,US-TX,0
e136ea8d-d037-4617-af1e-adb7bf39d4a4,user_0000,merch_0047,dev_0003,22.08,2024-02-18 17:35:00,US-TX,0
4ee7151c-134b-4299-aae0-e4e2ad878db7,user_0000,merch_0047,dev_0003,30.68,2024-03-10 17:37:00,US-TX,0
88118f90-1633-4b03-a373-caab6a3dcec9,user_0000,merch_0047,dev_0003,19.86,2024-03-26 20:44:00,US-TX,0
a53eb6ad-cfd7-4cdf-9495-60d810831f96,user_0000,merch_0023,dev_0003,49.93,2024-03-31 17:02:00,US-TX,0
a13f5ead-982b-4a34-9b54-6cd5113ef383,user_0001,merch_0025,dev_0040,28.26,2024-01-02 03:56:00,US-TX,0
a035109a-f92b-4415-ac84-2f5e3dc1e1c1,user_0001,merch_0025,dev_0040,10.37,2024-01-19 00:31:00,US-TX,0
311cb0ee-86ad-447f-921b-c5eec8d6ebd0,user_0001,merch_0056,dev_0072,185.04,2024-01-28 18:41:00,SG,1
e90c2bc0-0821-4958-94b2-c6948fea08c1,user_0001,merch_0025,dev_0040,19.05,2024-03-01 00:16:00,US-TX,0
fe9ebe4d-f2e2-4b76-a278-5f9cd0a6a4df,user_0001,merch_0025,dev_0001,15.55,2024-03-10 04:17:00,US-TX,0
4214a45d-e23e-4ece-9e5f-5b13426e373c,user_0001,merch_0025,dev_0040,12.99,2024-03-11 04:59:00,US-TX,0
0444c50e-dffc-48af-8d83-bb23c7e7c2bf,user_0001,merch_0025,dev_0058,27.35,2024-03-13 00:16:00,US-TX,0
a0ce836e-293f-46fd-ad58-81016786947b,user_0001,merch_0055,dev_0006,86.93,2024-03-21 12:10:00,US-NY,1
ec888785-ee1b-4542-8b89-9fa02c585548,user_0001,merch_0025,dev_0022,16.3,2024-03-21 20:53:00,US-TX,0
750fd48f-f104-4450-85f8-b45c6760dfaf,user_0002,merch_0014,dev_0070,261.53,2024-01-01 15:04:00,DE-BER,1
5a3df7a4-4dce-48f5-b6a0-646b2cdd152e,user_0002,merch_0015,dev_0000,13.49,2024-01-07 01:05:00,US-TX,0
c935de7d-ddc6-444d-a39e-88459e290880,user_0002,merch_0038,dev_0000,22.16,2024-01-10 04:34:00,US-TX,0
ee398fbb-5632-4cb1-abbc-aeda43a683c0,user_0002,merch_0039,dev_0058,271.19,2024-01-10 11:34:00,DE-BER,1
2bb8b495-713f-4058-aa02-0b2082a4e426,user_0002,merch_0038,dev_0000,26.95,2024-01-21 16:32:00,DE-BER,0
5d60f4d7-84c9-4585-b4f6-3efc9f2bf045,user_0002,merch_0038,dev_0000,19.2,2024-01-29 17:21:00,US-TX,0
cad6ecb6-012a-44a3-87bf-5e80b5da4068,user_0002,merch_0038,dev_0000,24.38,2024-01-31 18:26:00,US-TX,0
2148a05c-5d0c-4174-9e78-ddf27153e746,user_0002,merch_0056,dev_0000,23.29,2024-02-01 21:18:00,US-TX,0
32b93992-ff31-40f2-bdcc-2b8c1cf4d8df,user_0002,merch_0038,dev_0000,25.29,2024-02-04 00:55:00,US-TX,0
66307d03-f26d-4e15-84d7-26a550c39d92,user_0002,merch_0038,dev_0000,47.44,2024-02-09 19:03:00,IN-MUM,0
0b1e7cef-2eb7-4dc4-97e2-505245e797ec,user_0002,merch_0044,dev_0069,12.92,2024-02-09 22:42:00,US-TX,0
4c37a4b6-9241-4e01-9e47-8ce0dec5d836,user_0002,merch_0038,dev_0000,34.2,2024-02-11 04:59:00,US-TX,0
a52ab74c-b89c-478b-869f-5021915cac88,user_0002,merch_0038,dev_0000,14.62,2024-02-12 17:32:00,US-TX,0
b0a1122b-0759-44af-bc54-d7c9572c70b5,user_0002,merch_0038,dev_0000,15.24,2024-02-18 16:24:00,US-TX,0
5e3ab769-d442-4dda-a114-06e5462f2eee,user_0002,merch_0015,dev_0000,18.71,2024-03-09 23:08:00,US-TX,0
cc634348-026f-4a1e-a085-0dffe5229790,user_0002,merch_0038,dev_0000,14.16,2024-03-10 16:47:00,US-TX,0
72042ff0-98b9-4eb1-9707-a1412e6cd4ef,user_0002,merch_0038,dev_0000,56.46,2024-03-11 17:03:00,UK-LON,0
007c239f-05e1-41f3-bba3-45b53b344bb9,user_0002,merch_0038,dev_0000,35.52,2024-03-13 02:45:00,US-TX,0
6b31b1f3-2fe6-4b86-be49-9822c9eb9f64,user_0002,merch_0038,dev_0000,29.05,2024-03-15 01:30:00,US-TX,0
630b98f5-abef-4bd8-91e3-759071f07194,user_0002,merch_0038,dev_0000,21.51,2024-03-23 17:03:00,US-TX,0
636b1169-e69a-44ca-bf11-087f92f66953,user_0002,merch_0045,dev_0069,204.25,2024-03-25 03:33:00,US-TX,1
4b208b3d-4e12-4711-aa6c-639cc895820e,user_0002,merch_0038,dev_0000,18.72,2024-03-25 22:22:00,US-TX,0
c9c2570c-b055-4b6a-8e58-71bf58951bcd,user_0002,merch_0038,dev_0000,26.8,2024-03-27 03:20:00,US-CA,0
1dced402-79ee-48eb-af4f-4b30a4941bbb,user_0002,merch_0004,dev_0023,80.0,2024-03-27 10:55:00,DE-BER,1
9ac09373-5da8-407d-b116-3c29007b043a,user_0003,merch_0044,dev_0070,28.63,2024-01-06 05:23:00,DE-BER,0
e11f41ac-b58f-4107-81d9-0edcd15c2105,user_0003,merch_0019,dev_0070,11.1,2024-01-06 21:13:00,US-NY,0
48eb6493-20c3-4286-a670-f3918276e34e,user_0003,merch_0019,dev_0070,17.74,2024-02-04 00:31:00,US-NY,0
52b48c7d-1f76-46e8-93a5-30d30b6e97ce,user_0003,merch_0019,dev_0006,19.94,2024-02-05 16:00:00,US-NY,0
